number,origin kanji,kanji,reading,particle_before,particle_after,meaning,usefulness,components,labels,description
2,二,二重,にじゅう,,XXX,double-xxx,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/2-two-%E4%BA%8C"">二</a> (two) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1059-heavy-overlap-%E9%87%8D"">重</a> (heavy / overlap)
 = 二重 (double-xxx)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/35"" title=""Prefix"">PRE</a>","<p>PREFIX meaning double, as in ""double-chin"" or ""twin-engine plane.""</p>"
3,三,三人,さんにん,,で,can you guess?!???,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/3-three-%E4%B8%89"">三</a> (three) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/61-person-%E4%BA%BA"">人</a> (person)
 = 三人 (can you guess?!???)",,
3,三,三月,さんがつ,,,March,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/3-three-%E4%B8%89"">三</a> (three) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/41-moon-organ-%E6%9C%88"">月</a> (moon)
 = 三月 (March)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/12"" title=""Yet another only-in-Japanese headache: All kanji are written as hiragana. . . TO SOME EXTENT."">KANA</a>",
3,三,三角,さんかく,,,triangle,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/3-three-%E4%B8%89"">三</a> (three) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/561-horncorner-%E8%A7%92"">角</a> (horn/corner)
 = 三角 (triangle)",,
4,了,完了,かんりょう,,する,finish,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/572-complete-%E5%AE%8C"">完</a> (complete) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/4-total-%E4%BA%86"">了</a> (total)
 = 完了 (finish)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/16"" title=""(newspaper word) These words are only HEARD or READ, but they’re not SAID."">NP</a>","<p>to finish work on a project - an annual report, a re-formatting of the database, etc.</p>"
4,了,了解,りょうかい,,,"OK, got it.",★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/4-total-%E4%BA%86"">了</a> (total) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1199-solve-untie-%E8%A7%A3"">解</a> (solve / untie)
 = 了解 (OK, got it.)",,"<p>roger that!  ('I got it!') (originally used by military, but now often used when you text, because of its brevity)!</p>"
4,了,終了,しゅうりょう,,,expire,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/955-end-%E7%B5%82"">終</a> (end) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/4-total-%E4%BA%86"">了</a> (total)
 = 終了 (expire)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/16"" title=""(newspaper word) These words are only HEARD or READ, but they’re not SAID."">NP</a>","<p>to expire, to come to an end (used about contracts or subscriptions expiring)</p>"
5,子,子供,こども,,,child,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/5-child-%E5%AD%90"">子</a> (child) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1551-follower-%E4%BE%9B"">供</a> (follower)
 = 子供 (child)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>",
5,子,親子,おやこ,,,meat and eggs,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/525-parentskindness-%E8%A6%AA"">親</a> (parents/kindness) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/5-child-%E5%AD%90"">子</a> (child)
 = 親子 (meat and eggs)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/20"" title=""Japanese sarcasm tends towards subtle irony ,and can be pretty rewarding if you can determine that a joke has, in fact, been made. "">SARC</a> <a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>",<p>parents and child together - also the rather cruel name for a traditional dish: boiled chicken served with scrambled eggs.</p>
5,子,調子,ちょうし,,,condition,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1636-check-out-%E8%AA%BF"">調</a> (check out) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/5-child-%E5%AD%90"">子</a> (child)
 = 調子 (condition)",,"<p>the condition something's in. Can be used with a living thing or object. Always used only with いい or 悪い. Usually emphaizes the LONG TERM condition. Although hungover people have been heard to remark, 調子が悪い！</p>"
5,子,椅子,いす,,,chair,★★★☆☆,,"<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a> <a class=""label label-info"" href=""http://www.kanjidamage.com/tags/31"" title=""in practice, this word written in hiragana or katakana, not in kanji form, half the time."">1/2 KANA</a>",
5,子,車椅子,くるまいす,,,wheelchair,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1058-car-%E8%BB%8A"">車</a> (car) + <a href=""http://www.kanjidamage.com/kanji/5-child-%E5%AD%90"">子</a> (chair)
 = 車椅子 (wheelchair)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a> <a class=""label label-info"" href=""http://www.kanjidamage.com/tags/15"" title=""a NEOLOGISM. For instance, wheel-chair became 車椅子　（car-chair), and space-ship became 宇宙船 (universe vessel)."">NEO</a>",
6,女,彼女,かのじょ,,,her / girlfriend,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1326-him-%E5%BD%BC"">彼</a> (him) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/6-woman-%E5%A5%B3"">女</a> (woman)
 = 彼女 (her / girlfriend)",,<p>her. Might also mean 'girlfriend' depending on context.</p>
6,女,女の人,おんなのひと,,,woman,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/6-woman-%E5%A5%B3"">女</a> (woman) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/61-person-%E4%BA%BA"">人</a> (person)
 = 女の人 (woman)",,<p>the polite- but not formal - way to say woman</p>
6,女,女の子,おんなのこ,,,girl,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/6-woman-%E5%A5%B3"">女</a> (woman) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/5-child-%E5%AD%90"">子</a> (child)
 = 女の子 (girl)",,"<p>girl . Newspapers use it for a female up through junior high, but guys talking about 'chicks,dude' might use it to refer to a 20 year old.</p>"
6,女,少女,しょうじょ,,,young girl,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/193-a-little-amount-%E5%B0%91"">少</a> (a little (amount)) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/6-woman-%E5%A5%B3"">女</a> (woman)
 = 少女 (young girl)",,<p>young girl - usually 5- 15 years old.</p>
6,女,女性,じょせい,,,female,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/6-woman-%E5%A5%B3"">女</a> (woman) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/475-sex-essential-nature-%E6%80%A7"">性</a> (sex / essential nature)
 = 女性 (female)",,"<p>female - emphasizes biology, (sex, rather than gender).</p>"
6,女,女子,じょし,,,female xxx / xxx for girls,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/6-woman-%E5%A5%B3"">女</a> (woman) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/5-child-%E5%AD%90"">子</a> (child)
 = 女子 (female xxx / xxx for girls)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/35"" title=""Prefix"">PRE</a>","<p>PREFIX used about women from first grade through college. Used to refer to female students as a group: ""女子 line up on the left side of the class, 男子 (danshi) line up on the right side."" BOOBOO: You wouldn't say ""She's a joshi.""</p>"
6,女,女子高生,じょしこうせい,,,high school girl.,★★★☆☆,"<a href=""http://www.kanjidamage.com/kanji/6-woman-%E5%A5%B3"">女</a><a href=""http://www.kanjidamage.com/kanji/5-child-%E5%AD%90"">子</a> (female xxx / xxx for girls) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1639-tall-%E9%AB%98"">高</a> (tall) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/473-life-birth-%E7%94%9F"">生</a> (life / birth)
 = 女子高生 (high school girl.)",,
7,好,大好き,だいすき,,,really like,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/397-big-%E5%A4%A7"">大</a> (big) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/7-like-%E5%A5%BD"">好</a> (like)
 = 大好き (really like)",,
7,好,格好,かっこう,,,looks,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/613-character-aspect-%E6%A0%BC"">格</a> (character, aspect) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/7-like-%E5%A5%BD"">好</a> (like)
 = 格好 (looks)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/31"" title=""in practice, this word written in hiragana or katakana, not in kanji form, half the time."">1/2 KANA</a>","<p>literally, 'look' or 'shape,' as in 'He's dressed as a woman' : おんなの格好してる。</p> <p>
 But　usually it means 'coolness:' かっこいい (cool) or かっこうわるい (not).(when used in the figurative, 'cool' sense, it is usually KANA)


</p>"
7,好,格好つける,かっこうつける,,,try too hard to be cool,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/613-character-aspect-%E6%A0%BC"">格</a> (character, aspect) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/7-like-%E5%A5%BD"">好</a> (like)
 = 格好つける (try too hard to be cool)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/12"" title=""Yet another only-in-Japanese headache: All kanji are written as hiragana. . . TO SOME EXTENT."">KANA</a>","<p>this is a rad one. it means ""try too hard to be cool"". (Literally ""manufacturing coolness"")</p>"
7,好,好奇心,こうきしん,,,curiosity,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/7-like-%E5%A5%BD"">好</a> (like) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/399-strange-%E5%A5%87"">奇</a> (strange) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/98-heart-%E5%BF%83"">心</a> (heart)
 = 好奇心 (curiosity)",,"<p>curiosity  </p> <p>
BOOBOO: if you want to say you're curious about a specific thing, you'd use 興味　（きょうみ） instead.</p> <p>
好奇心 usually means ""curiosity-in-general"": 　you have an inquiring personality, or a gaze of curiosity on your face. You'd never say, ""Oh, you play in a band? 好奇心ある！”


</p>"
8,姦,強姦,ごうかん,,する,rape,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/897-burly-%E5%BC%B7"">強</a> (burly) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/8-rape-%E5%A7%A6"">姦</a> (rape)
 = 強姦 (rape)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>",
8,姦,法定強姦,ほうていごうかん,,,statuatory rape,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1258-law-%E6%B3%95"">法</a> (law) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/282-plan-%E5%AE%9A"">定</a> (plan) + <a href=""http://www.kanjidamage.com/kanji/897-burly-%E5%BC%B7"">強</a><a href=""http://www.kanjidamage.com/kanji/8-rape-%E5%A7%A6"">姦</a> (rape)
 = 法定強姦 (statuatory rape)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/16"" title=""(newspaper word) These words are only HEARD or READ, but they’re not SAID."">NP</a>",
8,姦,近親相姦,きんしんそうかん,,,incest,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/328-near-%E8%BF%91"">近</a> (near) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/525-parentskindness-%E8%A6%AA"">親</a> (parents/kindness) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/350-partner-%E7%9B%B8"">相</a> (partner) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/8-rape-%E5%A7%A6"">姦</a> (rape)
 = 近親相姦 (incest)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/1"" title=""abunai (危ない) means ‘dangerous!’"">ABU</a>",
8,姦,獣姦,じゅうかん,,,bestiality,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/598-beast-%E7%8D%A3"">獣</a> (beast) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/8-rape-%E5%A7%A6"">姦</a> (rape)
 = 獣姦 (bestiality)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/1"" title=""abunai (危ない) means ‘dangerous!’"">ABU</a>",
8,姦,死姦,しかん,,,necrophilia,☆☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/120-death-%E6%AD%BB"">死</a> (death) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/8-rape-%E5%A7%A6"">姦</a> (rape)
 = 死姦 (necrophilia)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/1"" title=""abunai (危ない) means ‘dangerous!’"">ABU</a>",
9,口,出口,でぐち,,,exit.,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1024-pull-out-hand-over-%E5%87%BA"">出</a> (pull out / hand over) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/9-mouth-small-box-radical-%E5%8F%A3"">口</a> (mouth)
 = 出口 (exit.)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>",
9,口,入り口,いりぐち,,,entrance,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/60-putgo-in-%E5%85%A5"">入</a> (put/go in) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/9-mouth-small-box-radical-%E5%8F%A3"">口</a> (mouth)
 = 入り口 (entrance)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/43"" title=""sometimes Japanese people get tired of writing the okurigana. They don’t write it BUT THEY STILL PRONOUNCE IT"">NOKURI</a>",<p>entrance (often shortened to 入口）</p>
9,口,悪口,わるぐち,,,talking shit about someone.,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/113-bad-%E6%82%AA"">悪</a> (bad) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/9-mouth-small-box-radical-%E5%8F%A3"">口</a> (mouth)
 = 悪口 (talking shit about someone.)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>",
9,口,銀行口座,ぎんこうこうざ,,,bank account,★★★☆☆,"<a href=""http://www.kanjidamage.com/kanji/915-silver-%E9%8A%80"">銀</a><a href=""http://www.kanjidamage.com/kanji/1229-go-%E8%A1%8C"">行</a> (bank) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/9-mouth-small-box-radical-%E5%8F%A3"">口</a> (mouth) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1133-sit-%E5%BA%A7"">座</a> (sit)
 = 銀行口座 (bank account)",,
9,口,口説く,くどく,,,pester,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/9-mouth-small-box-radical-%E5%8F%A3"">口</a> (mouth) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/863-explain-%E8%AA%AC"">説</a> (explain)
 = 口説く (pester)",,"<p>pester someone, usually for sex</p>"
9,口,人口,じんこう,,,population,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/61-person-%E4%BA%BA"">人</a> (person) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/9-mouth-small-box-radical-%E5%8F%A3"">口</a> (mouth)
 = 人口 (population)",,
9,口,窓口,まどぐち,,,service window,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/567-window-%E7%AA%93"">窓</a> (window) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/9-mouth-small-box-radical-%E5%8F%A3"">口</a> (mouth)
 = 窓口 (service window)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a>",<p>the kind of depressing place where you get a ticket or food from a person in a box with usually a bulletproof plexiglas window between you and them.</p>
9,口,口実,こうじつ,,,pretext,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/9-mouth-small-box-radical-%E5%8F%A3"">口</a> (mouth) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/964-truth-%E5%AE%9F"">実</a> (truth)
 = 口実 (pretext)",,"<p>a pretext. Like, ""I'm studying to be a preacher, but that's just a pretext for me to meet virgin dudes.""</p>"
10,品,商品,しょうひん,,,"items for sale, merchandise",★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1641-merchandise-%E5%95%86"">商</a> (merchandise) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/10-products-%E5%93%81"">品</a> (products)
 = 商品 (items for sale, merchandise)",,
10,品,作品,さくひん,,,artworks.,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/325-make-%E4%BD%9C"">作</a> (make) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/10-products-%E5%93%81"">品</a> (products)
 = 作品 (artworks.)",,
10,品,下品,げひん,,な,crude,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/12-below-%E4%B8%8B"">下</a> (below) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/10-products-%E5%93%81"">品</a> (products)
 = 下品 (crude)",,<p>crude. Like chicks sitting with their legs open or guys picking their nose.</p>
10,品,新品,しんぴん,,,new items,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/345-new-%E6%96%B0"">新</a> (new) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/10-products-%E5%93%81"">品</a> (products)
 = 新品 (new items)",,<p>brand new shit - just on the market</p>
10,品,上品,じょうひん,,な,sophisticated,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/123-above-%E4%B8%8A"">上</a> (above) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/10-products-%E5%93%81"">品</a> (products)
 = 上品 (sophisticated)",,"<p>can be used of people or things. It means graceful or sophisticated in a quiet or understated way. When it comes to people, 上品 is usually used about women, I mean 'ladies.'</p>"
11,言,言葉,ことば,,,any word,★★★★★,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/11-say-%E8%A8%80"">言</a> (say) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1030-leaf-%E8%91%89"">葉</a> (leaf)
 = 言葉 (any word)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>","<p>ANY word - unlike the related term 単語（たんご）、　言葉 can refer to compound words, or onomonopoeia. Also 言葉 can mean ""way of speaking."" There are expressions like ""watch what you say!"" that use 言葉 this way: 言葉使い が丁寧 (her way of speaking is very polite!) or 言葉大切につかいましょう （let's be careful how we speak!)</p>"
11,言,助言,じょげん,,,advice,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1490-save-%E5%8A%A9"">助</a> (save) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/11-say-%E8%A8%80"">言</a> (say)
 = 助言 (advice)",,
11,言,言語の壁,げんごのかべ,,,the language barrier,★★★☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/11-say-%E8%A8%80"">言</a> (say) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1574-language-%E8%AA%9E"">語</a> (language) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1362-wall-%E5%A3%81"">壁</a> (wall)
 = 言語の壁 (the language barrier )","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/15"" title=""a NEOLOGISM. For instance, wheel-chair became 車椅子　（car-chair), and space-ship became 宇宙船 (universe vessel)."">NEO</a>",
11,言,片言,かたこと,,,broken english / Japanese,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1106-fragment-%E7%89%87"">片</a> (fragment) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/11-say-%E8%A8%80"">言</a> (say)
 = 片言 (broken english / Japanese)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/13"" title=""Jukugo which don’t have okurigana generally use the ON-yomi."">KUNKUN</a> <a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>","<p>we say ""He speaks broken English"".Japanese say, ""He speaks katakoto nihongo.""</p>"
11,言,言葉遣い,ことばづかい,,,one's choice of words,★★☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/11-say-%E8%A8%80"">言</a> (say) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1030-leaf-%E8%91%89"">葉</a> (leaf) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1617-apply-%E9%81%A3"">遣</a> (apply)
 = 言葉遣い (one's choice of words)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/12"" title=""Yet another only-in-Japanese headache: All kanji are written as hiragana. . . TO SOME EXTENT."">KANA</a>",
12,下,地下鉄,ちかてつ,,,subway,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/1600-area-%E5%9C%B0"">地</a> (area) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/12-below-%E4%B8%8B"">下</a> (below) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1052-iron-%E9%89%84"">鉄</a> (iron)
 = 地下鉄 (subway)",,
12,下,下手,へた,ＸＸＸ が,,untalented / poor,★★★★☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/12-below-%E4%B8%8B"">下</a> (below) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/293-hand-%E6%89%8B"">手</a> (hand)
 = 下手 (untalented / poor)","<a class=""label label-info"" href=""http://www.kanjidamage.com/tags/8"" title=""FP stands for FUCKED PRONUNCIATION – the Japanese equivalent of English’s silent ‘p’ in ‘psychology’"">FP</a>","<p>XXX is untalented, poorly performed, or poorly made.</p>"
12,下,下痢,げり,,,diarrhea,★☆☆☆☆,"<a class=""component"" href=""http://www.kanjidamage.com/kanji/12-below-%E4%B8%8B"">下</a> (below) + <a class=""component"" href=""http://www.kanjidamage.com/kanji/1350-diarrhea-%E7%97%A2"">痢</a> (diarrhea)
 = 下痢 (diarrhea )",,
